epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,1452.92,0.07803,0.417,0.89831,0.95508,0.94005,0.97575,0.97382,0.17311,0.34097,0.26045,0.000720019,0.000720019,0.000720019
23,1519.18,0.08156,0.4172,0.89705,0.90353,0.92273,0.96878,0.95684,0.21253,0.44032,0.30143,0.00071102,0.00071102,0.00071102
24,1586.72,0.07852,0.40094,0.89745,0.92606,0.94283,0.9712,0.96272,0.23207,0.38904,0.31064,0.000702021,0.000702021,0.000702021
25,1651.74,0.07906,0.40184,0.89623,0.94058,0.88518,0.9672,0.96572,0.17977,0.33577,0.26695,0.000693022,0.000693022,0.000693022
26,1718.15,0.07845,0.40023,0.89675,0.9423,0.93487,0.97995,0.97606,0.12435,0.28683,0.19148,0.000684022,0.000684022,0.000684022
27,1785.51,0.07439,0.37214,0.89404,0.95062,0.94761,0.97876,0.95673,0.19011,0.35002,0.28576,0.000675023,0.000675023,0.000675023
28,1850.33,0.07367,0.35968,0.89547,0.95131,0.91978,0.98081,0.98081,0.11997,0.30352,0.18511,0.000666024,0.000666024,0.000666024
29,1914.52,0.06921,0.36642,0.89776,0.93717,0.96917,0.98375,0.96785,0.21272,0.29331,0.29763,0.000657025,0.000657025,0.000657025
30,1984.96,0.07084,0.36786,0.89444,0.93981,0.96902,0.98376,0.97706,0.18682,0.31156,0.27022,0.000648026,0.000648026,0.000648026
31,2049.61,0.06898,0.36703,0.89466,0.94677,0.94414,0.98413,0.98404,0.19503,0.31134,0.27383,0.000639027,0.000639027,0.000639027
32,2111.63,0.06584,0.34197,0.89217,0.93736,0.93319,0.98218,0.98061,0.15981,0.34231,0.23781,0.000630028,0.000630028,0.000630028
33,2176.26,0.06794,0.35446,0.892,0.95609,0.95338,0.98499,0.98487,0.18286,0.29843,0.26337,0.000621029,0.000621029,0.000621029
34,2239.66,0.06649,0.34713,0.89157,0.96691,0.97225,0.98099,0.98099,0.15903,0.25285,0.22528,0.00061203,0.00061203,0.00061203
35,2304.29,0.06645,0.33721,0.89669,0.95937,0.96748,0.98947,0.98947,0.1192,0.23406,0.17533,0.000603031,0.000603031,0.000603031
36,2366.15,0.06314,0.33129,0.89499,0.97285,0.97705,0.99026,0.98979,0.18393,0.27266,0.26201,0.000594031,0.000594031,0.000594031
37,2429.55,0.06064,0.32554,0.8939,0.96787,0.96968,0.98972,0.98972,0.14743,0.25522,0.22203,0.000585032,0.000585032,0.000585032
38,2491.38,0.06354,0.33646,0.89461,0.98525,0.96949,0.99171,0.99171,0.09803,0.20054,0.15966,0.000576033,0.000576033,0.000576033
39,2553.54,0.06385,0.32199,0.8956,0.96867,0.96305,0.9912,0.99026,0.10834,0.18675,0.14844,0.000567034,0.000567034,0.000567034
40,2617.13,0.06395,0.31936,0.89337,0.97494,0.97453,0.99201,0.99063,0.15699,0.24404,0.21742,0.000558035,0.000558035,0.000558035
41,2679.1,0.06298,0.31756,0.89352,0.96285,0.97041,0.99272,0.97253,0.17897,0.28205,0.24424,0.000549036,0.000549036,0.000549036
